"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C404230WA",7902.06011388958,5.16279122201151,0.204469980764532,3.91055951772469e-142,2.34711782253836e-138
"CAALFM_CR09350CA",1174.7420332167,8.17393601576181,0.338096693095811,4.20526180644585e-129,1.2619990681144e-125
"CAALFM_C302860WA",4665.24953001509,4.68173370830886,0.199923344940956,1.67974541352472e-122,3.36061065732511e-119
"CAALFM_C305130CA",148044.565079694,11.5456388599568,0.517948820365429,2.79421286485431e-111,4.19271640371389e-108
"CAALFM_C503480CA",19328.8279198299,3.88761275460104,0.199081798745725,1.9046134168604e-86,2.28629794559923e-83
"CAALFM_C203370WA",3682.20428227489,4.44655671691198,0.228381220381915,1.12248964275689e-85,1.12286380597114e-82
"CAALFM_CR09290WA",71545.15853897,9.30994985717391,0.496803532598476,1.50458492473683e-79,1.29007410261007e-76
"CAALFM_CR09360WA",7084.39049298342,6.34557052818122,0.499956647514717,3.50767659618051e-38,2.63163436628443e-35
"CAALFM_C102590CA",28052.7950017401,2.54775475869513,0.252792517698772,3.846707699833e-25,2.56532662382197e-22
"CAALFM_C404220WA",320.155908111694,1.71097878786779,0.257620380479968,1.401971621444e-12,8.41463367190687e-10
"CAALFM_C204580WA",5087.6829200704,1.01387574706944,0.174453836270573,2.8001283501534e-10,1.52785185069279e-07
"CAALFM_C102600WA",2442.20991117495,1.18964710270145,0.284417283893015,1.15709795370047e-06,0.000578741826509188
"CAALFM_C302870CA",303.654551331314,1.20927705398766,0.391277368142746,6.79351446171283e-05,0.0313651336916926
"CAALFM_C200760CA",359.680370877278,2.44292299356285,0.892505996404483,0.000171255341400495,0.0734196113632693
"CAALFM_C603170CA",305.978160043283,1.32686012464039,0.547518489694657,0.000426256904063423,0.159899621136791
"CAALFM_CR09270CA",3933.96798872808,1.19335639147602,0.486380562171194,0.000411068863632436,0.159899621136791
"CAALFM_C700770WA",635.909874645947,1.24358344814048,0.52711334113958,0.000498408007587226,0.175967344796384
"CAALFM_C201970CA",2356.01452936839,0.840200749865116,0.378944389737219,0.000712747895902264,0.237661826178077
"CAALFM_CR01980CA",5315.76333459742,0.671205734976446,0.318224602730541,0.000960181444144449,0.303316264618683
"CAALFM_C111490CA",30.7684653677879,1.39641735084157,0.711809117431162,0.00118232439425159,0.354815550714904
"CAALFM_C110270CA",1677.08035928386,0.250171049092428,0.117946278907054,0.00145517764138495,0.415903628742499
"CAALFM_C406510CA",1552.43236241406,0.992831167002275,0.845805126199591,0.00333045551995487,0.908608819580416
"CAALFM_C100020CA",1585.32421743592,-0.00109545451386951,0.0561703029053375,0.88946403841103,0.99970875222106
"CAALFM_C100030CA",54.1648375580755,0.00504566779253783,0.0566668282972399,0.411746676792679,0.99970875222106
"CAALFM_C100040WA",751.885322601398,-0.00313332496003831,0.0554416303957473,0.77458637600464,0.99970875222106
"CAALFM_C100060WA",17369.3567951687,0.0127121946508265,0.0565671693835493,0.508196529907006,0.99970875222106
"CAALFM_C100070WA",6408.4979151704,-0.00132134813577246,0.0559207153449342,0.881091751586926,0.99970875222106
"CAALFM_C100080CA",750.059692121671,-0.00609702636956648,0.0542372539092117,0.717103637806711,0.99970875222106
"CAALFM_C100090WA",108.604738304166,0.0146384624123243,0.058411466659084,0.172604682028242,0.99970875222106
"CAALFM_C100100CA",1604.70205145393,-0.00159911828709663,0.0557801151569241,0.871019745868153,0.99970875222106
"CAALFM_C100110WA",7851.51071279075,-0.000528178133939561,0.0560962923659471,0.942059693135515,0.99970875222106
"CAALFM_C100120CA",1562.29532028299,-0.011255959437129,0.0557775747344011,0.477060595715445,0.99970875222106
"CAALFM_C100130CA",1919.13037566569,0.00307520300204807,0.0554630808376582,0.798782678440883,0.99970875222106
"CAALFM_C100140WA",3825.94572311228,0.020054639426295,0.052814102748903,0.428341366228907,0.99970875222106
"CAALFM_C100150CA",1539.31255829885,0.00618634882019557,0.0559635287627778,0.487325280654509,0.99970875222106
"CAALFM_C100160CA",16063.4991199353,-0.00039484392124728,0.0565970033551177,0.875913761238724,0.99970875222106
"CAALFM_C100170WA",3308.83275892657,-0.00164360718099209,0.0564648786457936,0.743996155034864,0.99970875222106
"CAALFM_C100180WA",64266.9044981682,-0.00328012226750111,0.0566077793036681,0.741221456709356,0.99970875222106
"CAALFM_C100190CA",33.9608322776516,-0.00300116411790887,0.0566594458901437,0.423955026603137,0.99970875222106
"CAALFM_C100200CA",79.7983210423639,-0.00207780278184944,0.0563588276626333,0.74102536925442,0.99970875222106
"CAALFM_C100210CA",4395.39248768198,6.83168593423281e-05,0.0555833796242604,0.988128553567353,0.99970875222106
"CAALFM_C100220WA",16074.9541181941,0.00802061909924659,0.0563194311711192,0.478117516867876,0.99970875222106
"CAALFM_C100230CA",954.133841063475,-0.00671784219426644,0.0539432346529549,0.705856303190794,0.99970875222106
